GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total,Margin of Error; Total
1400000US24510271501,24510271501,"Census Tract 2715.01, Baltimore city, Maryland",4077,222
1400000US24510271503,24510271503,"Census Tract 2715.03, Baltimore city, Maryland",863,77
1400000US24510271600,24510271600,"Census Tract 2716, Baltimore city, Maryland",4693,644
1400000US24510271700,24510271700,"Census Tract 2717, Baltimore city, Maryland",5066,588
1400000US24510271801,24510271801,"Census Tract 2718.01, Baltimore city, Maryland",2960,393
1400000US24510271802,24510271802,"Census Tract 2718.02, Baltimore city, Maryland",2543,357
1400000US24510271900,24510271900,"Census Tract 2719, Baltimore city, Maryland",4012,381
1400000US24510272003,24510272003,"Census Tract 2720.03, Baltimore city, Maryland",5677,593
1400000US24510272004,24510272004,"Census Tract 2720.04, Baltimore city, Maryland",3811,261
1400000US24510272005,24510272005,"Census Tract 2720.05, Baltimore city, Maryland",3440,384
1400000US24510272006,24510272006,"Census Tract 2720.06, Baltimore city, Maryland",3513,303
1400000US24510272007,24510272007,"Census Tract 2720.07, Baltimore city, Maryland",4626,654
1400000US24510280101,24510280101,"Census Tract 2801.01, Baltimore city, Maryland",3763,381
1400000US24510280102,24510280102,"Census Tract 2801.02, Baltimore city, Maryland",6292,727
1400000US24510280200,24510280200,"Census Tract 2802, Baltimore city, Maryland",5023,586
1400000US24510280301,24510280301,"Census Tract 2803.01, Baltimore city, Maryland",3731,413
1400000US24510280302,24510280302,"Census Tract 2803.02, Baltimore city, Maryland",2492,274
1400000US24510280401,24510280401,"Census Tract 2804.01, Baltimore city, Maryland",3606,352
1400000US24510280402,24510280402,"Census Tract 2804.02, Baltimore city, Maryland",1657,239
1400000US24510280403,24510280403,"Census Tract 2804.03, Baltimore city, Maryland",5431,781
1400000US24510280404,24510280404,"Census Tract 2804.04, Baltimore city, Maryland",2519,242
1400000US24510280500,24510280500,"Census Tract 2805, Baltimore city, Maryland",2257,291
